Card Number,Name,Type,Title,Cost,Zeal,Might,Health,Resources,Action Ability,Constant Ability,Response ability,When Played Ability,Quote,Solo:
122,Magnates' Support,Tactic,,5,0,0,0,2,No Action Ability,No Constant Ability,No Response Ability,No OnPlay Ability,On Edward's death the King's Council (the Witenagemot) confirmed his brother-in-law Harold Earl of Wessex as King.,No Solo Mode Ability
123,English Thegns,Tactic,,1,0,0,0,1,No Action Ability,No Constant Ability,No Response Ability,No OnPlay Ability,A thegn would be given a horse a mail suit and a sword and use his king-given power to protect his shire from infiltrators and bandits.,No Solo Mode Ability
124,Caldbec Hill,Attachment,,2,0,2,0,0,No Action Ability,Attach to Wedge 1. It gains Might +2.,No Response Ability,No OnPlay Ability,Harold made his camp on Caldbec Hill by the Old Hoare Apple Tree before heading to Senlac Ridge for the battle itself.,No Solo Mode Ability
125,Crowning at Westminster,Attachment,,1,1,0,0,0,No Action Ability,Attach to “Harold Godwinson”. He gains Zeal +1.,No Response Ability,No OnPlay Ability,With no royal blood and fearing rival claims from William and Hardrada Harold was crowned in Westminster Abbey on 6th January 1066 the day after Edward's death.,No Solo Mode Ability
126,Edward's Chosen Heir,Attachment,,1,1,0,0,0,No Action Ability,Attach to “Harold Godwinson”. He gains Zeal +1.,Response: Destroy this card at any time to give “Harold Godwinson” Zeal +3 until the end of the round.,No OnPlay Ability,During his brief reign Harold showed that as chosen king he was an outstanding commander.,No Solo Mode Ability
127,Ferocious Resolution,Attachment,,1,2,0,0,0,No Action Ability,Attach to a Unit. It gains Zeal +2.,No Response Ability,No OnPlay Ability,The ferocity with which the Saxon berserkers fought literally terrified the Normans into repeatedly withdrawing.,No Solo Mode Ability
128,Local Advantage,Attachment,,1,0,1,0,0,No Action Ability,Attach to a Wedge. It gains Might +1.,No Response Ability,No OnPlay Ability,The Normans had to struggle through a marshy bog uphill to meet the Saxons on grounds which the English would have been more familiar with.,No Solo Mode Ability
129,Two-handed Axes,Event,,1,0,0,0,0,Action: Destroy 1 enemy Unit with Zeal 0.,No Constant Ability,No Response Ability,No OnPlay Ability,Much has been made of the lethality of the Saxons’ two-handed axes which were able to cleave straight through the Norman cavalry horse and rider both.,No Solo Mode Ability
130,Veteran Archers,Unit,,5,0,3,4,0,Action: Range 5 - Deal 1 damage to 1 enemy up to 5 Rows away in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Saxon archers are thought to have played a role at Stamford Bridge but are not reported present at Hastings which is not to say that they didn’t number at all.,No Solo Mode Ability
131,Saxon Axemen,Unit,,1,0,2,1,0,Action: Agile - Move this card to a different Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Saxon axemen would plant their shields in the ground in front of them for protection so they might more freely reign death with their axes.,No Solo Mode Ability
132,Saxon Axemen,Unit,,1,0,2,1,0,Action: Agile - Move this card to a different Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Saxon axemen would plant their shields in the ground in front of them for protection so they might more freely reign death with their axes.,No Solo Mode Ability
133,Saxon Battleaxemen,Unit,,3,0,3,2,0,Action: Bloodlust - Deal this card 1 damage to deal 1 damage to 1 enemy in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Axemen were the staple of Harold’s army and struck fear into the heart of the Norman cavalry with their deadly two-handed axes.,No Solo Mode Ability
134,Saxon Battleaxemen,Unit,,3,0,3,2,0,Action: Bloodlust - Deal this card 1 damage to deal 1 damage to 1 enemy in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Axemen were the staple of Harold’s army and struck fear into the heart of the Norman cavalry with their deadly two-handed axes.,No Solo Mode Ability
135,Saxon Battleaxemen,Unit,,3,0,3,2,0,Action: Bloodlust - Deal this card 1 damage to deal 1 damage to 1 enemy in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Axemen were the staple of Harold’s army and struck fear into the heart of the Norman cavalry with their deadly two-handed axes.,No Solo Mode Ability
136,Saxon Ceorl,Unit,,1,0,1,1,1,No Action Ability,No Constant Ability,No Response Ability,When Played: Cunning- Tire 1 non-Leader enemy in this card's Wedge.,A ceorl was the lowest ranking freeman in early Anglo-Saxon society not a peasant but an arms-owning male.,No Solo Mode Ability
137,Daggerman Assassin,Character,,5,0,3,4,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Marksman Elite - Destroy 1 non-Leader enemy.,Daggers and knives were the last resort of soldiers who had either lost their weapon or were too close to their enemy to use an axe.,No Solo Mode Ability
138,Followers,Character,,3,1,2,2,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Support - Play another card at Cost -1.,A key trait of Harold’s housecarls was their fierce loyalty marching their men hundreds of miles in a few days and fighting to the death for their king.,No Solo Mode Ability
139,Followers,Character,,3,1,2,2,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Support - Play another card at Cost -1.,A key trait of Harold’s housecarls was their fierce loyalty marching their men hundreds of miles in a few days and fighting to the death for their king.,No Solo Mode Ability
140,Fyrd,Unit,,0,0,1,1,0,No Action Ability,No Constant Ability,No Response Ability,No OnPlay Ability,The Fyrd were not full time fighters but were called up when the King needed them. They were mostly trained men chosen for war and their proximity to it.,No Solo Mode Ability
141,Fyrd Archers,Unit,,2,0,1,1,0,Action: Range 3 - Deal 1 damage to 1 enemy up to 3 Rows away in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Had the deadly Saxon archers played more of a role at Hastings the outcome of that battle could have been decidedly different.,No Solo Mode Ability
142,Fyrd Archers,Unit,,2,0,1,1,0,Action: Range 3 - Deal 1 damage to 1 enemy up to 3 Rows away in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Had the deadly Saxon archers played more of a role at Hastings the outcome of that battle could have been decidedly different.,No Solo Mode Ability
143,Housecarls,Character,,3,1,1,2,0,No Action Ability,Shielding - This card gains Might +1 whilst in Row 1.,No Response Ability,No OnPlay Ability,Unlike the Normans Saxon housecarls led from the front and were instrumental in the assembly and fortification of the infamous shield walls.,No Solo Mode Ability
144,Housecarls,Character,,3,1,1,2,1,No Action Ability,Shielding - This card gains Might +1 whilst in Row 1.,No Response Ability,No OnPlay Ability,Unlike the Normans Saxon housecarls led from the front and were instrumental in the assembly and fortification of the infamous shield walls.,No Solo Mode Ability
145,Housecarls,Character,,3,1,1,2,1,No Action Ability,Shielding - This card gains Might +1 whilst in Row 1.,No Response Ability,No OnPlay Ability,Unlike the Normans Saxon housecarls led from the front and were instrumental in the assembly and fortification of the infamous shield walls.,No Solo Mode Ability
146,Saxon Javelinmen,Unit,,2,0,2,2,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Marksman - Deal 1 damage to 1 non-Leader enemy.,More often used for close combat the Saxons would infrequently throw their javelins providing they had other weapons to fall back on.,No Solo Mode Ability
147,Late Recruits,Unit,,3,0,2,3,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Eleventh-hour - If at least 1 Wedge has any damage Ready 1 card with a Resource symbol.,Key to winning the battle for Harold was out-lasting William’s forces for the longer he delayed the more time he had for reinforcements to arrive.,No Solo Mode Ability
148,Local Archers,Unit,,4,0,2,3,0,Action: Range 3 - Deal 1 damage to 1 enemy up to 3 Rows away in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,The famous English archers were mostly poor and rarely had access to horses for travel so any Saxon archers who were present at Hastings would have been local to the surrounding area.,No Solo Mode Ability
149,Saxon Macemen,Unit,,1,1,1,1,0,No Action Ability,No Constant Ability,No Response Ability,No OnPlay Ability,A mace is an upmarket club used to bash in the head of one's opponent.,No Solo Mode Ability
150,Naturalised Danes,Unit,,3,0,2,3,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Marksman - Deal 1 damage to 1 non-Leader enemy.,Many of Harold’s housecarls were of Danish descent and had naturalised to England over the years.,No Solo Mode Ability
151,Naturalised Danes,Unit,,3,0,2,3,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Marksman - Deal 1 damage to 1 non-Leader enemy.,Many of Harold’s housecarls were of Danish descent and had naturalised to England over the years.,No Solo Mode Ability
152,Peasant Farmers,Unit,,0,0,0,1,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Support - Play another card at Cost -1.,Many peasant farmers fought at Stamford Bridge but having fulfilled their feudal agreement were then disbanded on September 8th before the Battle of Hastings took place.,No Solo Mode Ability
153,Hatchet Knight,Character,Berserker,5,0,4,4,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Fearsome - Destroy 1 non-Leader enemy in this card's Wedge.,Legend tells of a gigantic Saxon Knight wielding a hatchet with a foot long blade who mercilessly slew Norman soldiers left and right.,No Solo Mode Ability
154,Shire Levies,Unit,,1,0,1,1,0,No Action Ability,No Constant Ability,Response: Practical - When you generate Resources destroy this card to generate 2 additional Resources.,No OnPlay Ability,A shire levy was a means of military recruitment in medieval England entailing the mobilisation of able-bodied men from 16 to 60 for military duty.,Solo: Deal 1 damage to the enemy Leader’s Wedge. Destroy this card.
155,Stealthy Spearmen,Unit,,4,0,1,4,0,Action: Range 3 - Deal 1 damage to 1 enemy up to 3 Rows away in this card's Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,To defeat the Lone Axeman at Stamford Bridge Harold hid soldiers in a barrel and sailed it under the bridge. From there they impaled the axeman with spears.,No Solo Mode Ability
156,Saxon Spearmen,Unit,,2,0,2,1,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Spears - Deal 1 damage to 1 enemy Cavalry in this card's Wedge.,As effective as William’s cavalry were the Saxon spear defences were incredibly difficult to penetrate especially for horses.,No Solo Mode Ability
157,Saxon Spearmen,Unit,,2,0,2,1,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Spears - Deal 1 damage to 1 enemy Cavalry in this card's Wedge.,As effective as William’s cavalry were the Saxon spear defences were incredibly difficult to penetrate especially for horses.,No Solo Mode Ability
158,Saxon Spearmen,Unit,,2,0,2,1,0,No Action Ability,No Constant Ability,No Response Ability,When Played: Spears - Deal 1 damage to 1 enemy Cavalry in this card's Wedge.,As effective as William’s cavalry were the Saxon spear defences were incredibly difficult to penetrate especially for horses.,No Solo Mode Ability
159,Saxon Swordsmen,Unit,,1,0,1,2,0,Action: Agile - Move this card to a different Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Swordsmen made up a large percentage of the Saxon Infantry and were just as fierce in combat as their axe-wielding brethren.,No Solo Mode Ability
160,Saxon Swordsmen,Unit,,1,0,1,2,0,Action: Agile - Move this card to a different Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Swordsmen made up a large percentage of the Saxon Infantry and were just as fierce in combat as their axe-wielding brethren.,No Solo Mode Ability
161,Saxon Swordsmen,Unit,,1,0,1,2,0,Action: Agile - Move this card to a different Wedge.,No Constant Ability,No Response Ability,No OnPlay Ability,Swordsmen made up a large percentage of the Saxon Infantry and were just as fierce in combat as their axe-wielding brethren.,No Solo Mode Ability
